"","title","code","type","last update of data","last table structure change","data start","data end","values","table_w_code"
"836","Euro yield curves - annual data","irt_h_euryld_a","dataset","26.03.2009","17.07.2019","1999","2004",NA,"Euro yield curves - annual data (irt_h_euryld_a)"
"837","Euro yield curves - quarterly data","irt_h_euryld_q","dataset","26.03.2009","17.07.2019","1999Q1","2005Q2",NA,"Euro yield curves - quarterly data (irt_h_euryld_q)"
"838","Euro yield curves - monthly data","irt_h_euryld_m","dataset","26.03.2009","17.07.2019","1999M01","2005M07",NA,"Euro yield curves - monthly data (irt_h_euryld_m)"
"839","Euro yield curves - daily data","irt_h_euryld_d","dataset","26.03.2009","17.07.2019","1999M01D04","2005M08D05",NA,"Euro yield curves - daily data (irt_h_euryld_d)"
"840","Euro yields - coefficients - daily data","irt_h_eurcoe_d","dataset","26.03.2009","17.07.2019","1999M01D04","2005M08D05",NA,"Euro yields - coefficients - daily data (irt_h_eurcoe_d)"
"841","Central government bond yields - annual data","irt_h_cgby_a","dataset","01.12.2010","17.07.2019","1973","2008",NA,"Central government bond yields - annual data (irt_h_cgby_a)"
"842","Central government bond yields - quarterly data","irt_h_cgby_q","dataset","01.12.2010","17.07.2019","1973Q1","2008Q4",NA,"Central government bond yields - quarterly data (irt_h_cgby_q)"
"843","Central government bond yields - monthly data","irt_h_cgby_m","dataset","01.12.2010","17.07.2019","1973M01","2008M12",NA,"Central government bond yields - monthly data (irt_h_cgby_m)"
"844","Day-to-day rates for euro area countries - annual data","irt_h_ddmr_a","dataset","12.01.2017","17.07.2019","1970","2014",NA,"Day-to-day rates for euro area countries - annual data (irt_h_ddmr_a)"
"845","Day-to-day rates for euro area countries - quarterly data","irt_h_ddmr_q","dataset","12.01.2017","17.07.2019","1970Q1","2014Q4",NA,"Day-to-day rates for euro area countries - quarterly data (irt_h_ddmr_q)"
"846","Day-to-day rates for euro area countries - monthly data","irt_h_ddmr_m","dataset","12.01.2017","17.07.2019","1970M01","2014M12",NA,"Day-to-day rates for euro area countries - monthly data (irt_h_ddmr_m)"
"847","3-month rates for euro area countries - annual data","irt_h_mr3_a","dataset","12.01.2017","17.07.2019","1970","2014",NA,"3-month rates for euro area countries - annual data (irt_h_mr3_a)"
"848","3-month rates for euro area countries - quarterly data","irt_h_mr3_q","dataset","12.01.2017","17.07.2019","1970Q1","2014Q4",NA,"3-month rates for euro area countries - quarterly data (irt_h_mr3_q)"
"849","3-month rates for euro area countries - monthly data","irt_h_mr3_m","dataset","12.01.2017","17.07.2019","1970M01","2014M12",NA,"3-month rates for euro area countries - monthly data (irt_h_mr3_m)"
"850","HICP (2015 = 100) - monthly data (index)","prc_hicp_midx","dataset","31.07.2019","01.08.2019","1996M01","2019M07",NA,"HICP (2015 = 100) - monthly data (index) (prc_hicp_midx)"
"851","HICP (2015 = 100) - monthly data (annual rate of change)","prc_hicp_manr","dataset","31.07.2019","01.08.2019","1997M01","2019M07",NA,"HICP (2015 = 100) - monthly data (annual rate of change) (prc_hicp_manr)"
"852","HICP (2015 = 100) - monthly data (monthly rate of change)","prc_hicp_mmor","dataset","31.07.2019","01.08.2019","1996M02","2019M07",NA,"HICP (2015 = 100) - monthly data (monthly rate of change) (prc_hicp_mmor)"
"853","HICP (2015 = 100) - monthly data (12-month average rate of change)","prc_hicp_mv12r","dataset","17.07.2019","01.08.2019","1997M12","2019M06",NA,"HICP (2015 = 100) - monthly data (12-month average rate of change) (prc_hicp_mv12r)"
"854","HICP (2015 = 100) - annual data (average index and rate of change)","prc_hicp_aind","dataset","17.07.2019","01.08.2019","1996","2018",NA,"HICP (2015 = 100) - annual data (average index and rate of change) (prc_hicp_aind)"
"855","Contributions to euro area annual inflation (in percentage points)","prc_hicp_ctrb","dataset","17.07.2019","17.07.2019","2002M01","2019M06",NA,"Contributions to euro area annual inflation (in percentage points) (prc_hicp_ctrb)"
"856","HICP - country weights","prc_hicp_cow","dataset","17.07.2019","22.03.2019","1996","2019",NA,"HICP - country weights (prc_hicp_cow)"
"857","HICP - item weights","prc_hicp_inw","dataset","17.07.2019","01.08.2019","1996","2019",NA,"HICP - item weights (prc_hicp_inw)"
"858","HICP - administered Prices (composition)","prc_hicp_apc","dataset","17.07.2019","17.07.2019","2001","2019",NA,"HICP - administered Prices (composition) (prc_hicp_apc)"
"859","First published data","prc_hicp_fp","dataset","31.07.2019","01.08.2019","2016M01","2019M07",NA,"First published data (prc_hicp_fp)"
"860","HICP at constant taxes - monthly data (index)","prc_hicp_cind","dataset","17.07.2019","01.08.2019","2002M01","2019M06",NA,"HICP at constant taxes - monthly data (index) (prc_hicp_cind)"
"861","HICP at constant taxes - monthly data (annual rate of change)","prc_hicp_cann","dataset","17.07.2019","01.08.2019","2003M01","2019M06",NA,"HICP at constant taxes - monthly data (annual rate of change) (prc_hicp_cann)"
"862","HICP at constant taxes - monthly data (monthly rate of change)","prc_hicp_cmon","dataset","17.07.2019","01.08.2019","2002M02","2019M06",NA,"HICP at constant taxes - monthly data (monthly rate of change) (prc_hicp_cmon)"
"863","G20 CPI all-items - Group of Twenty - Consumer price index","prc_ipc_g20","dataset","17.07.2019","17.07.2019","1994M01","2019M06",NA,"G20 CPI all-items - Group of Twenty - Consumer price index (prc_ipc_g20)"
"864","Food price monitoring tool","prc_fsc_idx","dataset","07.08.2019","07.08.2019","2005M01","2019M07",NA,"Food price monitoring tool (prc_fsc_idx)"
"865","Detailed average prices - 2015","prc_dap15","dataset","30.08.2016","30.08.2016","2015","2015",NA,"Detailed average prices - 2015 (prc_dap15)"
"866","Detailed average prices - 2014","prc_dap14","dataset","30.09.2015",NA,"2014","2014",NA,"Detailed average prices - 2014 (prc_dap14)"
"867","Detailed average prices - 2013","prc_dap13","dataset","29.09.2015","29.09.2015","2013","2013",NA,"Detailed average prices - 2013 (prc_dap13)"
"868","Detailed average prices - 2012","prc_dap12","dataset","29.09.2015","29.09.2015","2012","2012",NA,"Detailed average prices - 2012 (prc_dap12)"
"869","House price index - annual data (2015 = 100)","prc_hpi_a","dataset","10.07.2019","01.08.2019","2005","2018",NA,"House price index - annual data (2015 = 100) (prc_hpi_a)"
"870","House price index (2015 = 100) - quarterly data","prc_hpi_q","dataset","10.07.2019","01.08.2019","2005Q1","2019Q1",NA,"House price index (2015 = 100) - quarterly data (prc_hpi_q)"
"871","House price index - Item weights","prc_hpi_inw","dataset","10.07.2019","10.07.2019","2005","2019",NA,"House price index - Item weights (prc_hpi_inw)"
"872","Value of housing transactions (dwellings purchased by households) - annual index (2015=100) and annual rate of change","prc_hpi_hs","dataset","14.09.2018","23.04.2019","2010","2017",NA,"Value of housing transactions (dwellings purchased by households) - annual index (2015=100) and annual rate of change (prc_hpi_hs)"
"873","Owner-occupied housing price index - annual data (2015=100)","prc_hpi_ooa","dataset","10.07.2019","10.07.2019","2005","2018",NA,"Owner-occupied housing price index - annual data (2015=100) (prc_hpi_ooa)"
"874","Owner-occupied housing price index - quarterly data (2015=100)","prc_hpi_ooq","dataset","10.07.2019","10.07.2019","2005Q1","2019Q1",NA,"Owner-occupied housing price index - quarterly data (2015=100) (prc_hpi_ooq)"
"875","Owner-occupied housing price index - item weights","prc_hpi_ooinw","dataset","10.07.2019","10.07.2019","2005","2019",NA,"Owner-occupied housing price index - item weights (prc_hpi_ooinw)"
"876","Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates","prc_ppp_ind","dataset","27.06.2019","01.08.2019","1995","2018",NA,"Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates (prc_ppp_ind)"
"877","Convergence indicators","prc_ppp_conv","dataset","20.06.2019","19.06.2019","1995","2018",NA,"Convergence indicators (prc_ppp_conv)"
"878","Correction coefficients in the European Union (Countries) - index (Belgium = 100)","prc_colc_nat","dataset","19.12.2018","27.05.2019","2004S1","2018S1",NA,"Correction coefficients in the European Union (Countries) - index (Belgium = 100) (prc_colc_nat)"
"879","Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)","prc_colc_tot","dataset","18.02.2019","27.05.2019","1994","2018S1",NA,"Correction coefficients in the European Union (Duty stations) - index (Brussels = 100) (prc_colc_tot)"
"880","Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)","prc_colc_ext","dataset","20.03.2019","20.05.2019","2000","2019",NA,"Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100) (prc_colc_ext)"
"881","Purchasing Power Parities in the European Union (Countries) - index (Belgium = 1)","prc_colc_pppnat","dataset","19.12.2018","27.05.2019","2010S1","2018S1",NA,"Purchasing Power Parities in the European Union (Countries) - index (Belgium = 1) (prc_colc_pppnat)"
"882","Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1)","prc_colc_ppptot","dataset","19.12.2018","27.05.2019","2010S1","2018S1",NA,"Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1) (prc_colc_ppptot)"
"883","Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100) (Monthly data)","prc_colc_extm","dataset","06.06.2019","06.06.2019","2000M07","2019M01",NA,"Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100) (Monthly data) (prc_colc_extm)"
"884","Purchasing Power Parities outside the European Union (Duty stations) - index (Brussels = 1) (Monthly data)","prc_colc_ppsm","dataset","06.06.2019","06.06.2019","2000M07","2019M01",NA,"Purchasing Power Parities outside the European Union (Duty stations) - index (Brussels = 1) (Monthly data) (prc_colc_ppsm)"
"885","Remuneration of national civil servants in central public administration","prc_rem_cs","dataset","24.04.2019","21.03.2019","1983","2018",NA,"Remuneration of national civil servants in central public administration (prc_rem_cs)"
"886","Number of national civil servants in central public administration","prc_rem_nr","dataset","24.04.2019","08.01.2019","2004","2018",NA,"Number of national civil servants in central public administration (prc_rem_nr)"
"887","Joint Index","prc_rem_idx","dataset","08.01.2019","08.01.2019","2004","2018",NA,"Joint Index (prc_rem_idx)"
"888","International trade in services (since 2004)","bop_its_det","dataset","16.05.2014","21.11.2017","2004","2013",NA,"International trade in services (since 2004) (bop_its_det)"
"889","International trade in services (1985-2003)","bop_its_deth","dataset","16.05.2014","21.11.2017","1985","2003",NA,"International trade in services (1985-2003) (bop_its_deth)"
"890","International trade in services - market integration indicators","bop_its_str","dataset","28.05.2014","08.03.2017","1992","2013",NA,"International trade in services - market integration indicators (bop_its_str)"
"891","Total services, detailed geographical breakdown by EU Member States (since 2002)","bop_its_tot","dataset","27.05.2014","21.11.2017","2002","2012",NA,"Total services, detailed geographical breakdown by EU Member States (since 2002) (bop_its_tot)"
"892","EU direct investment positions, breakdown by country and economic activity (NACE Rev. 2)","bop_fdi_pos_r2","dataset","16.07.2015","21.11.2017","2008","2012",NA,"EU direct investment positions, breakdown by country and economic activity (NACE Rev. 2) (bop_fdi_pos_r2)"
"893","EU direct investment flows, breakdown by partner country and economic activity (NACE Rev. 2)","bop_fdi_flow_r2","dataset","16.07.2015","21.11.2017","2008","2012",NA,"EU direct investment flows, breakdown by partner country and economic activity (NACE Rev. 2) (bop_fdi_flow_r2)"
"894","EU direct investment income, breakdown by partner country and economic activity (NACE Rev. 2)","bop_fdi_inc_r2","dataset","16.07.2015","21.11.2017","2008","2012",NA,"EU direct investment income, breakdown by partner country and economic activity (NACE Rev. 2) (bop_fdi_inc_r2)"
"895","Personal transfers and compensation of employees","bop_rem6","dataset","06.05.2019","16.04.2019","1996","2018",NA,"Personal transfers and compensation of employees (bop_rem6)"
"896","European Union and euro area balance of payments - monthly data (BPM6)","bop_eu6_m","dataset","22.07.2019","19.07.2019","1999M01","2019M05",NA,"European Union and euro area balance of payments - monthly data (BPM6) (bop_eu6_m)"
"897","European Union and euro area balance of payments - quarterly data (BPM6)","bop_eu6_q","dataset","10.07.2019","01.08.2019","1999","2019Q1",NA,"European Union and euro area balance of payments - quarterly data (BPM6) (bop_eu6_q)"
"898","Balance of payments by country - monthly data (BPM6)","bop_c6_m","dataset","18.07.2019","18.07.2019","1991M01","2019M05",NA,"Balance of payments by country - monthly data (BPM6) (bop_c6_m)"
"899","Balance of payments by country - quarterly data (BPM6)","bop_c6_q","dataset","22.07.2019","01.08.2019","1982","2019Q1",NA,"Balance of payments by country - quarterly data (BPM6) (bop_c6_q)"
"900","International investment position - quarterly and annual data (BPM6)","bop_iip6_q","dataset","16.07.2019","05.07.2019","1991","2019Q1",NA,"International investment position - quarterly and annual data (BPM6) (bop_iip6_q)"
"901","Main Balance of Payments and International Investment Position items as share of GDP (BPM6)","bop_gdp6_q","dataset","12.07.2019","05.07.2019","1991","2019Q1",NA,"Main Balance of Payments and International Investment Position items as share of GDP (BPM6) (bop_gdp6_q)"
"902","Export market shares (BPM6)","bop_exms6_q","dataset","12.07.2019","02.05.2019","1991","2018",NA,"Export market shares (BPM6) (bop_exms6_q)"
"903","International trade in services (since 2010) (BPM6)","bop_its6_det","dataset","07.05.2019","07.05.2019","2010","2018",NA,"International trade in services (since 2010) (BPM6) (bop_its6_det)"
"904","Total services, detailed geographical breakdown by EU Member States (since 2010) (BPM6)","bop_its6_tot","dataset","22.02.2019","12.01.2019","2010","2017",NA,"Total services, detailed geographical breakdown by EU Member States (since 2010) (BPM6) (bop_its6_tot)"
"905","EU direct investment positions, breakdown by country and economic activity (BPM6)","bop_fdi6_pos","dataset","17.06.2019","05.02.2019","2013","2017",NA,"EU direct investment positions, breakdown by country and economic activity (BPM6) (bop_fdi6_pos)"
"906","EU direct investment income, breakdown by partner country and economic activity (BPM6)","bop_fdi6_inc","dataset","17.06.2019","04.06.2019","2013","2017",NA,"EU direct investment income, breakdown by partner country and economic activity (BPM6) (bop_fdi6_inc)"
"907","EU direct investment flows, breakdown by partner country and economic activity (BPM6)","bop_fdi6_flow","dataset","17.06.2019","05.02.2019","2013","2017",NA,"EU direct investment flows, breakdown by partner country and economic activity (BPM6) (bop_fdi6_flow)"
"908","EU direct investment positions, flows and income, breakdown by partner countries (BPM6)","bop_fdi6_geo","dataset","17.06.2019","05.02.2019","2013","2017",NA,"EU direct investment positions, flows and income, breakdown by partner countries (BPM6) (bop_fdi6_geo)"
"909","EU direct investments indicators in % of GDP, impact indicators and  rate of return on direct investment (BPM6)","bop_fdi6_ind","dataset","25.01.2019","17.12.2018","2013","2017",NA,"EU direct investments indicators in % of GDP, impact indicators and  rate of return on direct investment (BPM6) (bop_fdi6_ind)"
"910","Balance of payments of the EU institutions - annual data (BPM6)","bop_euins6_a","dataset","14.06.2019","21.03.2019","1987","2018",NA,"Balance of payments of the EU institutions - annual data (BPM6) (bop_euins6_a)"
"911","Balance of payments of the EU institutions - quarterly data (BPM6)","bop_euins6_q","dataset","11.07.2019","11.07.2019","1999Q1","2019Q2",NA,"Balance of payments of the EU institutions - quarterly data (BPM6) (bop_euins6_q)"
"912","Balance of payments of the EU institutions - monthly data (BPM6)","bop_euins6_m","dataset","11.07.2019","11.07.2019","1999M01","2019M06",NA,"Balance of payments of the EU institutions - monthly data (BPM6) (bop_euins6_m)"
"913","International investment position of the EU institutions (BPM6)","bop_euins6_iip","dataset","21.03.2019","21.03.2019","1999","2016",NA,"International investment position of the EU institutions (BPM6) (bop_euins6_iip)"
"914","Population change - Demographic balance and crude rates at national level","demo_gind","dataset","10.07.2019","01.08.2019","1960","2019",NA,"Population change - Demographic balance and crude rates at national level (demo_gind)"
"915","Population on 1 January by age and sex","demo_pjan","dataset","08.05.2019","06.06.2019","1960","2018",NA,"Population on 1 January by age and sex (demo_pjan)"
"916","Population on 1 January by age group and sex","demo_pjangroup","dataset","08.05.2019","06.06.2019","1960","2018",NA,"Population on 1 January by age group and sex (demo_pjangroup)"
"917","Population on 1 January by broad age group and sex","demo_pjanbroad","dataset","08.05.2019","06.06.2019","1960","2018",NA,"Population on 1 January by broad age group and sex (demo_pjanbroad)"
"918","Population on 1 January by age, sex and educational attainment level","demo_pjanedu","dataset","25.02.2019","06.06.2019","2007","2018",NA,"Population on 1 January by age, sex and educational attainment level (demo_pjanedu)"
"919","Population on 1 January by age, sex and legal marital status","demo_pjanmarsta","dataset","02.04.2019","06.06.2019","1960","2018",NA,"Population on 1 January by age, sex and legal marital status (demo_pjanmarsta)"
"920","Population on 1 January by age, sex and broad group of citizenship","migr_pop2ctz","dataset","08.08.2019","08.08.2019","1998","2018",NA,"Population on 1 January by age, sex and broad group of citizenship (migr_pop2ctz)"
"921","Population on 1 January by age group, sex and citizenship","migr_pop1ctz","dataset","08.08.2019","08.08.2019","1998","2018",NA,"Population on 1 January by age group, sex and citizenship (migr_pop1ctz)"
"922","Population on 1 January by age group, sex and country of birth","migr_pop3ctb","dataset","31.07.2019","16.04.2019","1998","2018",NA,"Population on 1 January by age group, sex and country of birth (migr_pop3ctb)"
"923","Population on 1 January by age, sex and broad group of country of birth","migr_pop4ctb","dataset","31.07.2019","16.04.2019","1998","2018",NA,"Population on 1 January by age, sex and broad group of country of birth (migr_pop4ctb)"
"924","Population on 1 January by sex, citizenship and broad group of country of birth","migr_pop5ctz","dataset","31.07.2019","26.02.2019","2009","2018",NA,"Population on 1 January by sex, citizenship and broad group of country of birth (migr_pop5ctz)"
"925","Population on 1 January by sex, country of birth and broad group of citizenship","migr_pop6ctb","dataset","31.07.2019","26.02.2019","2009","2018",NA,"Population on 1 January by sex, country of birth and broad group of citizenship (migr_pop6ctb)"
"926","Population on 1 January by age group, sex and level of human development of the country of citizenship","migr_pop7ctz","dataset","09.08.2019","08.08.2019","2014","2018",NA,"Population on 1 January by age group, sex and level of human development of the country of citizenship (migr_pop7ctz)"
"927","Population on 1 January by age group, sex and level of human development of the country of birth","migr_pop8ctb","dataset","31.07.2019","16.04.2019","2014","2018",NA,"Population on 1 January by age group, sex and level of human development of the country of birth (migr_pop8ctb)"
"928","EU and EFTA citizens who are usual residents in another EU/EFTA country as of 1 January","migr_pop9ctz","dataset","08.08.2019","08.08.2019","2016","2018",NA,"EU and EFTA citizens who are usual residents in another EU/EFTA country as of 1 January (migr_pop9ctz)"
"929","Usually resident population on 1 January","demo_urespop","dataset","02.10.2018","02.10.2018","2014","2018",NA,"Usually resident population on 1 January (demo_urespop)"
"930","Population: Structure indicators","demo_pjanind","dataset","30.04.2019","06.06.2019","1960","2018",NA,"Population: Structure indicators (demo_pjanind)"
"931","Live births (total) by month","demo_fmonth","dataset","02.04.2019","06.06.2019","1925","2017",NA,"Live births (total) by month (demo_fmonth)"
"932","Live births by mother's age and newborn's sex","demo_fasec","dataset","02.04.2019","28.02.2019","2007","2017",NA,"Live births by mother's age and newborn's sex (demo_fasec)"
"933","Live births by mother's age and birth order","demo_fordagec","dataset","02.04.2019","06.06.2019","1960","2017",NA,"Live births by mother's age and birth order (demo_fordagec)"
"934","Live births by mother's year of birth (age reached) and birth order","demo_fordager","dataset","02.04.2019","06.06.2019","1960","2017",NA,"Live births by mother's year of birth (age reached) and birth order (demo_fordager)"
"935","Live births by mother's age and legal marital status","demo_fagec","dataset","08.05.2019","06.06.2019","1960","2017",NA,"Live births by mother's age and legal marital status (demo_fagec)"
"936","Live births by mother's year of birth (age reached) and legal marital status","demo_fager","dataset","08.05.2019","06.06.2019","1960","2017",NA,"Live births by mother's year of birth (age reached) and legal marital status (demo_fager)"
"937","Live births by mother's age and educational attainment level","demo_faeduc","dataset","03.04.2019","06.06.2019","2007","2017",NA,"Live births by mother's age and educational attainment level (demo_faeduc)"
"938","Live births by mother's age and activity status","demo_faemplc","dataset","27.02.2019","27.02.2019","2007","2017",NA,"Live births by mother's age and activity status (demo_faemplc)"
"939","Live births by mother's age and citizenship","demo_faczc","dataset","03.04.2019","28.02.2019","2007","2017",NA,"Live births by mother's age and citizenship (demo_faczc)"
"940","Live births by mother's age and country of birth","demo_facbc","dataset","03.04.2019","28.02.2019","2007","2017",NA,"Live births by mother's age and country of birth (demo_facbc)"
"941","Live births by birth weight and duration of gestation","demo_fweight","dataset","05.04.2019","27.02.2019","2013","2017",NA,"Live births by birth weight and duration of gestation (demo_fweight)"
"942","Legally induced abortions by mother's age","demo_fabort","dataset","29.04.2019","06.06.2019","1960","2017",NA,"Legally induced abortions by mother's age (demo_fabort)"
"943","Legally induced abortions by mother's age and number of previous live births","demo_fabortord","dataset","26.04.2019","06.06.2019","1999","2017",NA,"Legally induced abortions by mother's age and number of previous live births (demo_fabortord)"
"944","Abortion indicators","demo_fabortind","dataset","26.04.2019","21.03.2019","2013","2017",NA,"Abortion indicators (demo_fabortind)"
"945","Fertility indicators","demo_find","dataset","27.05.2019","06.06.2019","1960","2017",NA,"Fertility indicators (demo_find)"
"946","Fertility rates by age","demo_frate","dataset","03.04.2019","06.06.2019","1960","2017",NA,"Fertility rates by age (demo_frate)"
"947","Deaths (total) by month","demo_mmonth","dataset","03.04.2019","06.06.2019","1960","2017",NA,"Deaths (total) by month (demo_mmonth)"
"948","Deaths by age and sex","demo_magec","dataset","09.05.2019","06.06.2019","1960","2017",NA,"Deaths by age and sex (demo_magec)"
"949","Deaths by year of birth (age reached)  and sex","demo_mager","dataset","09.05.2019","06.06.2019","1960","2017",NA,"Deaths by year of birth (age reached)  and sex (demo_mager)"
"950","Deaths by age, sex and educational attainment level","demo_maeduc","dataset","04.04.2019","06.06.2019","2007","2017",NA,"Deaths by age, sex and educational attainment level (demo_maeduc)"
"951","Deaths by age, sex and legal marital status","demo_marstac","dataset","04.04.2019","27.02.2019","2007","2017",NA,"Deaths by age, sex and legal marital status (demo_marstac)"
"952","Deaths by age, sex and citizenship","demo_maczc","dataset","30.04.2019","27.02.2019","2007","2017",NA,"Deaths by age, sex and citizenship (demo_maczc)"
"953","Deaths by age, sex and country of birth","demo_macbc","dataset","30.04.2019","27.02.2019","2007","2017",NA,"Deaths by age, sex and country of birth (demo_macbc)"
"954","Infant mortality","demo_minf","dataset","25.04.2019","06.06.2019","1960","2017",NA,"Infant mortality (demo_minf)"
"955","Infant mortality by age and sex","demo_minfs","dataset","25.04.2019","10.04.2019","2007","2017",NA,"Infant mortality by age and sex (demo_minfs)"
"956","Infant mortality rates","demo_minfind","dataset","25.04.2019","06.06.2019","1960","2017",NA,"Infant mortality rates (demo_minfind)"
"957","Infant mortality by mother's educational attainment level (ISCED11f) and father's educational attainment level (ISCED11)","demo_minfedu","dataset","04.04.2019","21.03.2019","2013","2017",NA,"Infant mortality by mother's educational attainment level (ISCED11f) and father's educational attainment level (ISCED11) (demo_minfedu)"
"958","Late foetal deaths by mother's age","demo_mfoet","dataset","21.03.2019","21.03.2019","2007","2017",NA,"Late foetal deaths by mother's age (demo_mfoet)"
"959","Life table","demo_mlifetable","dataset","08.05.2019","06.06.2019","1960","2017",NA,"Life table (demo_mlifetable)"
"960","Life expectancy by age and sex","demo_mlexpec","dataset","09.05.2019","06.06.2019","1960","2017",NA,"Life expectancy by age and sex (demo_mlexpec)"
"961","Life expectancy by age, sex and educational attainment level","demo_mlexpecedu","dataset","07.06.2018","06.06.2019","2007","2016",NA,"Life expectancy by age, sex and educational attainment level (demo_mlexpecedu)"
"962","Immigration by age and sex","migr_imm8","dataset","11.08.2019","25.02.2019","1990","2017",NA,"Immigration by age and sex (migr_imm8)"
"963","Immigration by age group, sex and citizenship","migr_imm1ctz","dataset","11.08.2019","17.07.2019","1998","2017",NA,"Immigration by age group, sex and citizenship (migr_imm1ctz)"
"964","Immigration by age group, sex and country of birth","migr_imm3ctb","dataset","16.04.2019","17.07.2019","2008","2017",NA,"Immigration by age group, sex and country of birth (migr_imm3ctb)"
"965","Immigration by age, sex and broad group of citizenship","migr_imm2ctz","dataset","11.08.2019","17.07.2019","1998","2017",NA,"Immigration by age, sex and broad group of citizenship (migr_imm2ctz)"
"966","Immigration by age, sex and broad group of country of birth","migr_imm4ctb","dataset","16.04.2019","17.07.2019","2008","2017",NA,"Immigration by age, sex and broad group of country of birth (migr_imm4ctb)"
"967","Immigration by sex, citizenship and broad group of country of birth","migr_imm6ctz","dataset","25.02.2019","17.07.2019","2008","2017",NA,"Immigration by sex, citizenship and broad group of country of birth (migr_imm6ctz)"
"968","Immigration by sex, country of birth and broad group of citizenship","migr_imm7ctb","dataset","25.02.2019","17.07.2019","2008","2017",NA,"Immigration by sex, country of birth and broad group of citizenship (migr_imm7ctb)"
"969","Immigration by age group, sex and country of previous residence","migr_imm5prv","dataset","11.08.2019","17.07.2019","1998","2017",NA,"Immigration by age group, sex and country of previous residence (migr_imm5prv)"
"970","Immigration by age group, sex and level of human development of the country of citizenship","migr_imm9ctz","dataset","25.02.2019","25.02.2019","2013","2017",NA,"Immigration by age group, sex and level of human development of the country of citizenship (migr_imm9ctz)"
"971","Immigration by  age group, sex and level of human development of the country of birth","migr_imm10ctb","dataset","25.02.2019","25.02.2019","2013","2017",NA,"Immigration by  age group, sex and level of human development of the country of birth (migr_imm10ctb)"
"972","Immigration by age group, sex and level of human development of the country of previous residence","migr_imm11prv","dataset","25.02.2019","25.02.2019","2013","2017",NA,"Immigration by age group, sex and level of human development of the country of previous residence (migr_imm11prv)"
"973","Emigration by age and sex","migr_emi2","dataset","25.02.2019","17.07.2019","1990","2017",NA,"Emigration by age and sex (migr_emi2)"
"974","Emigration by age group, sex and citizenship","migr_emi1ctz","dataset","11.08.2019","17.07.2019","1998","2017",NA,"Emigration by age group, sex and citizenship (migr_emi1ctz)"
"975","Emigration by age group, sex and country of birth","migr_emi4ctb","dataset","02.04.2019","17.07.2019","2008","2017",NA,"Emigration by age group, sex and country of birth (migr_emi4ctb)"
"976","Emigration by age group, sex and country of next usual residence","migr_emi3nxt","dataset","11.08.2019","17.07.2019","1998","2017",NA,"Emigration by age group, sex and country of next usual residence (migr_emi3nxt)"
"977","Residents who acquired citizenship as a share of resident non-citizens by former citizenship and sex","migr_acqs","dataset","28.02.2019","28.02.2019","2009","2017",NA,"Residents who acquired citizenship as a share of resident non-citizens by former citizenship and sex (migr_acqs)"
"978","Acquisition of citizenship by age group, sex and former citizenship","migr_acq","dataset","11.03.2019","17.07.2019","1998","2017",NA,"Acquisition of citizenship by age group, sex and former citizenship (migr_acq)"
"979","Acquisition of citizenship by age group, sex and level of human development of former citizenship","migr_acq1ctz","dataset","11.03.2019","11.03.2019","2013","2017",NA,"Acquisition of citizenship by age group, sex and level of human development of former citizenship (migr_acq1ctz)"
"980","Loss of citizenship by sex and new citizenship","migr_lct","dataset","06.05.2019","17.07.2019","2008","2017",NA,"Loss of citizenship by sex and new citizenship (migr_lct)"
"981","Marriage indicators","demo_nind","dataset","29.05.2019","06.06.2019","1960","2017",NA,"Marriage indicators (demo_nind)"
"982","Marriages by sex and previous marital status","demo_nmsta","dataset","21.03.2019","06.06.2019","1960","2017",NA,"Marriages by sex and previous marital status (demo_nmsta)"
"983","Marriages by previous legal union status of bride (MARSTA2) and groom (MARSTA)","demo_nmsta2","dataset","21.03.2019","21.03.2019","2013","2017",NA,"Marriages by previous legal union status of bride (MARSTA2) and groom (MARSTA) (demo_nmsta2)"
"984","First-time marrying persons by age and sex","demo_nsinagec","dataset","21.03.2019","06.06.2019","1990","2017",NA,"First-time marrying persons by age and sex (demo_nsinagec)"
"985","First marriage rates by age and sex","demo_nsinrt","dataset","21.03.2019","06.06.2019","1990","2017",NA,"First marriage rates by age and sex (demo_nsinrt)"
"986","Marriages by citizenship of bride (CITIZEN) and groom (PARTNER)","demo_marcz","dataset","22.03.2019","22.03.2019","2012","2017",NA,"Marriages by citizenship of bride (CITIZEN) and groom (PARTNER) (demo_marcz)"
"987","Marriages by country of birth of bride (C_BIRTH) and groom (PARTNER)","demo_marcb","dataset","22.03.2019","22.03.2019","2012","2017",NA,"Marriages by country of birth of bride (C_BIRTH) and groom (PARTNER) (demo_marcb)"
"988","Divorce indicators","demo_ndivind","dataset","27.05.2019","06.06.2019","1960","2017",NA,"Divorce indicators (demo_ndivind)"
